id_domanda;risposta;corretta;id_risposta;sort
1;esclusi il Ministero della giustizia, il Ministero dell'economia e delle finanze e il Ministero del lavoro e delle politiche sociali, nonché dai settori della ricerca, della docenza universitaria, delle magistrature e dei ruoli degli avvocati e procuratori dello Stato, del volontariato e dell'associazionismo.;1;1;1
1;esclusi il Ministero della giustizia e il Ministero dell'economia e delle finanze, nonché dai settori della ricerca, della docenza universitaria, delle magistrature e dei ruoli degli avvocati e procuratori dello Stato, del volontariato e dell'associazionismo.;0;2;1
1;esclusi il Ministero della giustizia, il Ministero della difesa e il Ministero dell'economia e delle finanze, nonché dai settori della ricerca, della docenza universitaria, delle magistrature e dei ruoli degli avvocati e procuratori dello Stato, del volontariato e dell'associazionismo.;0;3;1
1;esclusi il Ministero della giustizia, il Ministero della difesa, il Ministero del lavoro e delle politiche sociali e il Ministero dell'economia e delle finanze, nonché dai settori della ricerca, delle magistrature e dei ruoli degli avvocati eprocuratori dello Stato.;0;4;1
2;effettuare le analisi necessarie e acquisire le informazioni in ordine alla stabilità dell'equilibrio finanziario e, in caso di disavanzo, acquisire le informazioni circa la struttura dello stesso e le prospettive di riassorbimento affinché venga, nel tempo, salvaguardato l'equilibrio.;1;1;1
2;relazionare annualmente al Ministro sullo stato dei finanziamenti erogati dalla Cassa e sugli esiti delle attività di monitoraggio e controllo dei programmi e dei progetti finanziati.;0;2;1
2;sovrintendere all'andamento della Cassa e curarne i rapporti istituzionali.;0;3;1
2;vigilare sull'attuazione delle delibere avvalendosi dell'attività del responsabile del controllo del programma e del progetto, anche richiedendo la collaborazione delle articolazioni ministeriali interessate al programma o al progetto finanziato.;0;4;1
3;un componente designato dal Ministro del lavoro e delle politiche sociali tra i dirigenti in servizio presso il Ministro del lavoro e delle politiche sociali, di concerto con Ministero dell'economia e delle finanze.;1;1;1
3;il Capo del Dipartimento per la giustizia minorile e di comunità.;0;2;1
3;un componente designato dal Ministro dell'economia e delle finanze tra i dirigenti in servizio presso il Ministero dell'economia e delle finanze.;0;3;1
3;un componente designato dal Ministro del lavoro e delle politiche sociali tra i dirigenti in servizio presso il Ministro del lavoro e delle politiche sociali.;0;4;1
